CBSA Code,year,n
10420,1980,55
10420,1981,48
10420,1982,58
10420,1983,64
10420,1984,43
10420,1985,43
10420,1986,51
10420,1987,49
10420,1988,70
10420,1989,42
10420,1990,40
10420,1991,67
10420,1992,19
10420,1993,33
10420,1994,33
10420,1995,33
10420,1996,41
10420,1997,25
10420,1998,52
10420,1999,57
10420,2000,33
10420,2001,51
10420,2002,46
10420,2003,31
10420,2004,27
10420,2005,43
10420,2006,19
10420,2007,39
10420,2008,18
10420,2009,4
10420,2010,19
10420,2011,9
10420,2012,8
10420,2013,3
10420,2014,1
10420,2015,2
10420,2016,1
10420,2018,3
10420,2019,3
10420,2020,5
10420,2021,4
10420,2022,4
10580,1980,33
10580,1981,20
10580,1982,22
10580,1983,28
10580,1984,10
10580,1985,24
10580,1986,13
10580,1987,21
10580,1988,37
10580,1989,19
10580,1990,13
10580,1991,27
10580,1992,15
10580,1993,15
10580,1994,20
10580,1995,24
10580,1996,15
10580,1997,13
10580,1998,19
10580,1999,28
10580,2000,7
10580,2001,25
10580,2002,35
10580,2003,18
10580,2004,18
10580,2005,22
10580,2006,11
10580,2007,27
10580,2008,11
10580,2009,3
10580,2010,11
10580,2011,3
10580,2012,9
10580,2015,2
10580,2016,3
10580,2018,3
10580,2020,3
10580,2021,2
10740,1980,54
10740,1981,82
10740,1982,52
10740,1983,66
10740,1984,55
10740,1985,21
10740,1986,40
10740,1987,67
10740,1988,25
10740,1989,35
10740,1990,27
10740,1991,18
10740,1992,9
10740,1993,9
10740,1994,19
10740,1995,17
10740,1996,26
10740,1997,19
10740,1998,24
10740,1999,24
10740,2000,44
10740,2001,23
10740,2002,34
10740,2003,61
10740,2004,26
10740,2005,31
10740,2006,34
10740,2007,28
10740,2008,12
10740,2009,3
10740,2010,6
10740,2011,38
10740,2012,33
10740,2013,14
10740,2014,1
10740,2015,4
10740,2016,6
10740,2017,6
10740,2018,25
10740,2019,4
10740,2020,11
10740,2021,24
10740,2022,8
10900,1980,81
10900,1981,49
10900,1982,45
10900,1983,69
10900,1984,51
10900,1985,59
10900,1986,38
10900,1987,49
10900,1988,64
10900,1989,32
10900,1990,31
10900,1991,41
10900,1992,21
10900,1993,40
10900,1994,44
10900,1995,41
10900,1996,36
10900,1997,36
10900,1998,52
10900,1999,47
10900,2000,33
10900,2001,52
10900,2002,47
10900,2003,32
10900,2004,34
10900,2005,35
10900,2006,20
10900,2007,36
10900,2008,20
10900,2009,3
10900,2010,34
10900,2011,16
10900,2012,19
10900,2013,11
10900,2014,5
10900,2015,7
10900,2016,11
10900,2017,4
10900,2018,9
10900,2019,5
10900,2020,2
10900,2021,4
12060,1980,91
12060,1981,50
12060,1982,47
12060,1983,72
12060,1984,54
12060,1985,40
12060,1986,77
12060,1987,102
12060,1988,102
12060,1989,74
12060,1990,115
12060,1991,73
12060,1992,70
12060,1993,102
12060,1994,64
12060,1995,88
12060,1996,73
12060,1997,76
12060,1998,115
12060,1999,130
12060,2000,116
12060,2001,84
12060,2002,76
12060,2003,61
12060,2004,58
12060,2005,71
12060,2006,92
12060,2007,87
12060,2008,59
12060,2009,26
12060,2010,52
12060,2011,74
12060,2012,32
12060,2013,13
12060,2014,19
12060,2015,22
12060,2016,36
12060,2017,11
12060,2018,12
12060,2019,25
12060,2020,3
12060,2021,11
12060,2022,9
12420,1980,25
12420,1981,22
12420,1982,30
12420,1983,16
12420,1984,22
12420,1985,30
12420,1986,14
12420,1987,28
12420,1988,33
12420,1989,28
12420,1990,22
12420,1991,18
12420,1992,22
12420,1993,12
12420,1994,22
12420,1995,48
12420,1996,9
12420,1997,34
12420,1998,28
12420,1999,51
12420,2000,37
12420,2001,13
12420,2002,19
12420,2003,23
12420,2004,16
12420,2005,20
12420,2006,41
12420,2007,11
12420,2008,14
12420,2009,7
12420,2010,10
12420,2011,19
12420,2012,9
12420,2013,5
12420,2015,12
12420,2016,1
12420,2017,5
12420,2018,11
12420,2019,2
12420,2020,2
12420,2021,1
12420,2022,2
12540,1980,130
12540,1981,138
12540,1982,116
12540,1983,106
12540,1984,107
12540,1985,158
12540,1986,166
12540,1987,163
12540,1988,194
12540,1989,186
12540,1990,193
12540,1991,170
12540,1992,164
12540,1993,164
12540,1994,161
12540,1995,162
12540,1996,154
12540,1997,140
12540,1998,139
12540,1999,199
12540,2000,207
12540,2001,211
12540,2002,237
12540,2003,227
12540,2004,212
12540,2005,174
12540,2006,185
12540,2007,190
12540,2008,203
12540,2009,176
12540,2010,131
12540,2011,148
12540,2012,147
12540,2013,146
12540,2014,169
12540,2015,128
12540,2016,126
12540,2017,146
12540,2018,139
12540,2019,103
12540,2020,134
12540,2021,135
12540,2022,23
12580,1980,129
12580,1981,105
12580,1982,118
12580,1983,117
12580,1984,101
12580,1985,102
12580,1986,92
12580,1987,96
12580,1988,101
12580,1989,64
12580,1990,73
12580,1991,96
12580,1992,53
12580,1993,100
12580,1994,76
12580,1995,76
12580,1996,67
12580,1997,68
12580,1998,87
12580,1999,75
12580,2000,62
12580,2001,82
12580,2002,85
12580,2003,55
12580,2004,53
12580,2005,62
12580,2006,57
12580,2007,64
12580,2008,45
12580,2009,25
12580,2010,57
12580,2011,41
12580,2012,38
12580,2013,13
12580,2014,7
12580,2015,20
12580,2016,27
12580,2017,16
12580,2018,20
12580,2019,14
12580,2020,4
12580,2021,17
12580,2022,2
12940,1980,70
12940,1981,75
12940,1982,40
12940,1983,52
12940,1984,55
12940,1985,61
12940,1986,66
12940,1987,74
12940,1988,62
12940,1989,51
12940,1990,73
12940,1991,43
12940,1992,65
12940,1993,59
12940,1994,49
12940,1995,70
12940,1996,55
12940,1997,75
12940,1998,56
12940,1999,73
12940,2000,91
12940,2001,43
12940,2002,35
